gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g365	22659.7175743129	1.62015654880725	0.328648593212486	4.9300183686875	8.22218853972086e-07	7.84519244816558e-05	TRUE	
g471	282.684957305273	1.7823463555325	0.362068325439521	4.91996304319123	8.65605549679595e-07	8.17222755271188e-05	TRUE	
g847	64.8600226052378	2.74475236825627	0.56076881401009	4.9011288555448	9.52875286800389e-07	8.90243588261738e-05	TRUE	
g889	431.823865428826	1.92293754284971	0.394767952728355	4.87015275189796	1.11512009237297e-06	0.000103108372252507	TRUE	
g478	3694.24141433907	1.83541757724276	0.377523503861174	4.86249257482321	1.15916728533943e-06	0.000106087463083769	TRUE	
g235	1347.86569542949	2.04375793739467	0.420677997119364	4.8600267230309	1.17369908828835e-06	0.000106332395180386	TRUE	
g259	327.222071949724	1.57150961556623	0.323800013693238	4.85159633447517	1.22471696672726e-06	0.000108763367562143	TRUE	
g871	1971.94686628696	1.48399048515813	0.305868323774114	4.85158525718966	1.2247853856368e-06	0.000108763367562143	TRUE	
g87	2006.88706605945	1.59712716781119	0.330237109268454	4.83628660768371	1.32287143597071e-06	0.000115839036879027	TRUE	
g3520	99.2312803235221	1.98355430815941	0.409310946845006	4.83517350009838	1.33029555118071e-06	0.000115839036879027	TRUE	
g163	72.7275877696326	2.25367838773019	0.464563701368007	4.83197728810942	1.35183679757833e-06	0.000116582925360385	TRUE	
g659	32.3210162754704	2.61655606457112	0.533463644001851	4.82048429445135	1.43210131676228e-06	0.000122328730571818	TRUE	
g995	2883.03123862067	1.40756300728283	0.296011598547397	4.75505151199929	1.98395824143565e-06	0.000167869070447512	TRUE	
g9406	893.279479571367	-1.53620896712411	0.325589024778663	-4.71766713869817	2.38564391627083e-06	0.00019997046995358	TRUE	
g128	12130.0008795871	1.2903464983846	0.27394069389613	4.71033877169339	2.47305372206488e-06	0.000204844313249576	TRUE	
g568	2950.39406858258	1.42676141344688	0.302984858518116	4.70899047178434	2.48946706926121e-06	0.000204844313249576	TRUE	
g299	1709.01116806677	1.47020524304547	0.312809689724381	4.69986028455341	2.6033954183012e-06	0.00021227139551585	TRUE	
g139	6976.55161043855	1.89399510080025	0.403372645277201	4.6969289160095	2.64102310902512e-06	0.000213399425809426	TRUE	
g3	2668.18692622616	1.31350214545413	0.279837344719352	4.69372171364117	2.6827893065278e-06	0.000214838725805784	TRUE	
g726	1364.7833579903	1.9054213790182	0.406230781971468	4.69144373721138	2.71283877434274e-06	0.000215322574929912	TRUE	
g426	242.583893735974	2.17362345700637	0.463646870885758	4.68799367348815	2.75896545555955e-06	0.000217062817288716	TRUE	
g3020	3958.1476655251	-1.37615883371833	0.294258431342231	-4.67662209681144	2.91638985565217e-06	0.000227453048829081	TRUE	
g205	1187.01572742846	1.32149306831534	0.28542051102208	4.62976271544162	3.66084993670658e-06	0.000283053130020011	TRUE	
g6619	42.1605922486282	-1.88514802332437	0.599981655579836	-4.62296541242967	3.78292817974859e-06	0.00028999216106124	TRUE	
g9842	189.091783404975	-2.57292424447099	0.564512419592072	-4.62031454548896	3.83158703700728e-06	0.000291233085889138	TRUE	
g175	126.369113665586	1.98852336922493	0.430947067594098	4.60707876842516	4.08365340108952e-06	0.000304730378344596	TRUE	
g837	622.548334683483	1.57746114324158	0.342215502402447	4.60887388753315	4.04855799021557e-06	0.000304730378344596	TRUE	
g926	63.9638083023435	1.99897720812278	0.432553424804935	4.6042199175335	4.14014787977972e-06	0.000304730378344596	TRUE	
g956	3043.76562566862	1.68578956938183	0.366194546352767	4.60397276082142	4.1450670262059e-06	0.000304730378344596	TRUE	
g880	1818.59951880434	1.95669647807878	0.4254739980999	4.60096189975941	4.20544353913269e-06	0.000306655472377895	TRUE	
g742	298.091041834773	1.76590531791048	0.384270054512465	4.59360605386013	4.35651454674963e-06	0.000315109507820947	TRUE	
g951	5573.41775329996	1.33751881553149	0.292639530860941	4.5705456407053	4.86455958456981e-06	0.000349041879312053	TRUE	
g499	863.120062420489	1.18962465548969	0.261854345039976	4.5427469957752	5.55258782257307e-06	0.000395247303021094	TRUE	
g817	4241.65975642607	1.36030865143704	0.300474619790615	4.52720033662419	5.97702709259918e-06	0.000422109889712772	TRUE	
g59	9941.12736968523	2.07316598880993	0.462596491920479	4.48732190428241	7.21240584336014e-06	0.000498880867302615	TRUE	
g185	864.327119827115	1.5425622731502	0.343724393956142	4.48755177894323	7.20463053224423e-06	0.000498880867302615	TRUE	
g376	932.494444358342	1.60321494986973	0.357300781195027	4.48677420568268	7.23096362463373e-06	0.000498880867302615	TRUE	
g254	3371.95916340141	1.54108440442701	0.343895041197097	4.48141577818146	7.41494944130155e-06	0.000502038971850638	TRUE	
g655	2820.44266871348	1.52885490550468	0.341248542460897	4.48030271892358	7.45372471237352e-06	0.000502038971850638	TRUE	
g9129	54.3221351590606	2.5642965726376	0.577736070659981	4.47929911763318	7.48885299901569e-06	0.000502038971850638	TRUE	
g9469	2361.70351085437	1.62884962853174	0.363690723878895	4.47896343299196	7.50063800066736e-06	0.000502038971850638	TRUE	
g3500	20.5784963698965	2.13454239184482	0.607217164347016	4.47722924641202	7.56180370541411e-06	0.000502383832843401	TRUE	
g464	139.659120329015	1.47821942886564	0.331849063796513	4.45115094641264	8.54112762367722e-06	0.000563274806299713	TRUE	
g776	1321.69112744622	1.39603297265936	0.314268642968569	4.44197358273406	8.91375058360701e-06	0.000583557875798331	TRUE	
g8421	138.119973000766	2.2747102880834	0.513307136051947	4.43719614748995	9.11382391447825e-06	0.000592332512238807	TRUE	
g662	44.34851977463	2.48415930687949	0.5593316432042	4.42934235441797	9.45208756753021e-06	0.000607327028627183	TRUE	
g1192	59.2900008192942	2.09572581664526	0.471549187672616	4.42870718284907	9.4799625384999e-06	0.000607327028627183	TRUE	
g831	5912.30234540627	1.43017492662956	0.323098970143814	4.42654533923372	9.57542633273341e-06	0.000609092189916921	TRUE	
g434	2348.29443042974	1.6814350355785	0.381755019305566	4.40501297655377	1.05777545637565e-05	0.000668111835791072	TRUE	
g1678	64.302929057621	-2.55138521332643	0.600229926373245	-4.39705075877146	1.09731690528256e-05	0.000688240232411139	TRUE	
g503	1660.40430778917	1.2918846994639	0.295217767637011	4.3759006237597	1.20932104883358e-05	0.000753222256040863	TRUE	
g3640	135.676275919378	2.27763539554774	0.52314813260784	4.36223190151818	1.28742300428167e-05	0.000796337718993262	TRUE	
g846	1124.87358807887	1.39712687655057	0.322174060099097	4.33636272054046	1.44859827508201e-05	0.000889895748576067	TRUE	
g792	3264.38027593565	1.49727796609421	0.345843504380707	4.32950653600021	1.49443835319939e-05	0.000911810720397643	TRUE	
g704	231.854400636038	1.80801538536179	0.417672444779926	4.32739865450252	1.50880730673576e-05	0.000914357617169802	TRUE	
g4044	251.574380507605	-2.37533180691757	0.554641185276572	-4.31928364995975	1.56536482009936e-05	0.000942265575266518	TRUE	
g7922	333.67709350738	1.77501010802744	0.412138069553885	4.30636691275396	1.65957699672973e-05	0.000992316405577931	TRUE	
g64	3882.28263812979	1.67642017945716	0.391200452867582	4.28611201432478	1.8182733123507e-05	0.00108000618135586	TRUE	
g146	1306.18060072741	1.53029969945118	0.358380261957194	4.2700207551268	1.954547778948e-05	0.00115331177824899	TRUE	
