logFC	logCPM	PValue
g504	1.05776142209816	9.12752367790961	2.31298280420237e-05
g505	0.703925885185273	8.8746430459625	7.01619304724046e-05
g506	0.882565725221188	5.72363899197989	1.63011529985805e-07
g507	1.23303357551968	4.87664181899333	0.00644276686198686
g508	1.42209514044507	5.80730974415069	1.77024795135628e-05
g509	2.32566093714101	9.83366622520061	1.24106255856092e-14
g510	1.19353542353812	6.53954844813799	0.00166285422829177
g511	2.05790223330979	4.8598996296333	1.18853410184974e-07
g512	0.374642815274882	3.58130898846412	0.484818542050057
g513	0.627424974289559	1.99434222956723	0.0374501311176897
g514	1.45264972557685	3.65751573303454	1.02775123406542e-06
g515	1.97075286768753	6.38117756673628	6.8056823100993e-20
g516	0.824450497081368	5.86836892007594	8.05462925286079e-05
g517	1.19415469255211	4.79282180870091	3.3629846578218e-08
g518	1.78676791872187	3.54881192746427	1.07569095214449e-05
g519	1.12476723116167	6.04243393676223	0.000807100832135692
g520	2.70852244613534	9.88155979565125	4.56463120509198e-27
g521	1.02720913697766	7.55466520840203	0.000116142750490975
g522	1.06667921950652	4.21326314572951	0.000191949434368805
g523	1.63337837438853	4.23062112744105	1.23590723132251e-08
g524	1.82255336504546	4.95935547951926	3.26649657767197e-05
g525	1.31562517528097	7.02061155300205	1.57089441063655e-14
g526	0.587410620027544	5.17595359282766	0.230767858494978
g528	2.03030087968962	4.50874814953502	5.03252636964223e-15
g529	1.24765439653812	6.75559240950012	1.37907969478941e-12
g530	1.07821147290434	4.69036827416371	1.82684606377139e-07
g531	1.5793246461435	6.9303957135089	8.87392210786104e-11
g532	0.578044125105022	6.45811705911993	0.00600348198851962
g533	1.36870165073261	6.90346759623483	1.07287831072126e-13
g534	0.720903724994524	2.22747196741126	0.372294603633863
g535	1.51106779422748	6.15392377734613	1.07358555619609e-07
g536	0.990078154847791	7.00414228649797	7.44856016749839e-09
g538	1.14157374899268	1.86106759854096	0.0521302250082951
g539	0.915624395056754	7.03650735337556	1.82535523364789e-07
g540	1.37961477224483	5.66942810686692	2.63407161576432e-05
g541	0.532682723658642	6.84604824314556	0.0151889115384832
g542	0.752674170254116	3.92500879330689	0.0310312694871719
g543	1.66394449654695	4.78909297575845	0.000794288518163454
g545	1.67932540340427	2.88869748373225	0.00105610340041178
g547	1.61054817512373	2.30324752996239	4.4251507695076e-06
g548	0.835935000937424	4.87238286602287	0.0281615690379214
g549	0.487733299763004	6.98654118460458	0.000802950429504101
g550	0.490791621822984	5.88518907882194	0.0893108930350307
g551	1.15467061284283	6.44877530030091	4.01744733966776e-09
g553	1.03446135479881	2.38664230631619	0.0167570322474604
g554	1.61940626621434	10.6222362254556	8.65482189369922e-19
g555	1.74075910796614	4.89997027669912	8.2924381237305e-17
g556	1.37600155395499	7.48257069485637	6.15524498695965e-12
